run_id,session_id,run_index_in_day,run_outcome,run_outcome_ordinal,victory_binary,character,difficulty,difficulty_ordinal,nightlord,enhanced,map,team_type,evergaol_cleared,middle_castle_visited,great_enemies_cleared,enemies_cleared,allies_rescued,runes_obtained,level,total_optional_content,loot_priority_score,buff_to_loot_ratio,risk_taking_score,combat_efficiency,runes_per_level,strategy_type,after_victory
79,25,2,final_day,2,0,wylder,depth2,2,Gnoster,True,base,duo,3,True,11,70,8,601816,15,14,14,0.25,4,0.15492957746478872,37613.5,high_risk_castle,0.0
80,25,3,victory,3,1,wylder,depth2,2,Fulghor,True,base,trio,5,True,14,62,24,700032,12,19,17,0.3333333333333333,6,0.2222222222222222,53848.61538461538,buff_focused,0.0
81,25,4,victory,3,1,wylder,depth2,2,Adel,False,base,trio,6,False,15,78,23,511559,14,21,15,0.375,6,0.189873417721519,34103.933333333334,buff_focused,1.0
82,25,5,final_day,2,0,recluse,depth2,2,Gladius,False,base,trio,3,True,12,89,24,453634,13,15,15,0.23076923076923078,4,0.13333333333333333,32402.428571428572,loot_focused,1.0
83,26,1,final_day,2,0,revenant,depth3,3,Caligo,False,mountaintop,duo,3,True,8,91,16,613759,12,11,11,0.3333333333333333,4,0.08695652173913043,47212.230769230766,high_risk_castle,0.0
84,26,2,final_day,2,0,wylder,depth3,3,Fulghor,False,base,duo,3,True,11,78,16,647976,12,14,14,0.25,4,0.13924050632911392,49844.307692307695,high_risk_castle,0.0
85,27,1,victory,3,1,guardian,depth2,2,Gladius,False,base,duo,5,True,15,68,15,647345,15,20,18,0.3125,6,0.21739130434782608,40459.0625,buff_focused,0.0
86,27,2,final_day,2,0,recluse,depth3,3,Adel,True,base,duo,6,False,12,62,11,623517,15,18,12,0.46153846153846156,6,0.19047619047619047,38969.8125,buff_focused,1.0
87,27,3,first_day,0,0,recluse,depth2,2,Heolstor,False,base,duo,2,False,2,22,5,128954,7,4,2,0.6666666666666666,2,0.08695652173913043,16119.25,speedrun,0.0
88,27,4,first_day,0,0,recluse,depth2,2,Heolstor,False,base,trio,1,True,3,34,2,164840,8,4,6,0.25,2,0.08571428571428572,18315.555555555555,high_risk_castle,0.0
89,28,1,victory,3,1,guardian,depth2,2,Adel,False,base,duo,6,True,13,59,13,626645,15,19,16,0.42857142857142855,7,0.21666666666666667,39165.3125,buff_focused,0.0
90,28,2,first_day,0,0,wylder,depth2,2,Adel,False,base,duo,1,False,3,42,3,192369,8,4,3,0.25,1,0.06976744186046512,21374.333333333332,speedrun,1.0
91,28,3,first_day,0,0,recluse,depth2,2,Heolstor,False,base,duo,2,False,3,25,6,121991,7,5,3,0.5,2,0.11538461538461539,15248.875,speedrun,0.0
