run_id,run_index_in_day,character,difficulty,nightlord,enhanced,map,run_outcome,evergaol_cleared,middle_castle_visited,great_enemies_cleared,enemies_cleared,team_type,allies_rescued,runes_obtained,level,notes,run_outcome_ordinal,difficulty_ordinal,victory_binary,total_optional_content,loot_priority_score,buff_to_loot_ratio,risk_taking_score,combat_efficiency,runes_per_level,enemies_per_level,session_id,cumulative_wins_in_session,win_rate_so_far_in_session,prev_run_outcome_ordinal,after_victory,strategy_type
91,3,recluse,depth2,Heolstor,False,base,first_day,2,False,3,25,duo,6,121991,7,,0,2,0,5,3,0.5,2,0.11538461538461539,15248.875,3.125,28,1,0.3333333333333333,0.0,0.0,speedrun
92,4,recluse,depth2,Gnoster,True,crater,final_day,4,False,11,74,duo,13,592298,14,,2,2,0,15,11,0.3333333333333333,4,0.14666666666666667,39486.53333333333,4.933333333333334,28,1,0.25,0.0,0.0,speedrun
93,5,recluse,depth2,Caligo,False,base,victory,5,False,11,53,duo,18,372223,12,,3,2,1,16,11,0.4166666666666667,5,0.2037037037037037,28632.53846153846,4.076923076923077,28,2,0.4,2.0,0.0,buff_focused
94,1,recluse,depth2,Gladius,True,base,final_day,5,True,9,52,duo,12,486444,14,enhanced ,2,2,0,14,12,0.5,6,0.16981132075471697,32429.6,3.466666666666667,29,0,0.0,,0.0,buff_focused
95,2,recluse,depth2,Gnoster,True,base,final_day,3,True,9,45,duo,7,583296,15,enhanced ,2,2,0,12,12,0.3,4,0.1956521739130435,36456.0,2.8125,29,0,0.0,2.0,0.0,high_risk_castle
96,3,wylder,depth2,Adel,False,crater,victory,2,True,14,85,duo,5,746024,15,,3,2,1,16,17,0.13333333333333333,3,0.16279069767441862,46626.5,5.3125,29,1,0.3333333333333333,2.0,0.0,loot_focused
97,1,revenant,depth2,Fulghor,False,base,victory,5,True,13,90,duo,8,659841,15,,3,2,1,18,16,0.35714285714285715,6,0.14285714285714285,41240.0625,5.625,30,1,1.0,,0.0,buff_focused
98,1,revenant,depth2,Adel,False,base,final_day,3,True,11,67,duo,20,524084,15,,2,2,0,14,14,0.25,4,0.16176470588235295,32755.25,4.1875,31,0,0.0,,0.0,high_risk_castle
99,2,guardian,depth2,Fulghor,False,base,victory,3,True,9,115,duo,11,539453,12,,3,2,1,12,12,0.3,4,0.07758620689655173,41496.38461538462,8.846153846153847,31,1,0.5,2.0,0.0,high_risk_castle
100,1,wylder,depth3,Libra,False,base,first_day,2,False,4,45,duo,2,213838,9,,0,3,0,6,4,0.4,2,0.08695652173913043,21383.8,4.5,32,0,0.0,,0.0,speedrun
101,2,wylder,depth2,Adel,False,base,victory,3,True,10,91,duo,7,606275,15,,3,2,1,13,13,0.2727272727272727,4,0.10869565217391304,37892.1875,5.6875,32,1,0.5,0.0,0.0,high_risk_castle
102,3,wylder,depth2,Heolstor,False,base,victory,4,False,15,86,duo,10,660553,15,,3,2,1,19,15,0.25,4,0.1724137931034483,41284.5625,5.375,32,2,0.6666666666666666,3.0,1.0,loot_focused
103,4,recluse,depth2,Heolstor,False,base,first_day,2,False,2,33,duo,4,79684,5,,0,2,0,4,2,0.6666666666666666,2,0.058823529411764705,13280.666666666666,5.5,32,2,0.5,3.0,1.0,speedrun
104,5,recluse,depth2,Maris,True,base,final_day,5,False,10,101,duo,12,605253,15,enhanced,2,2,0,15,10,0.45454545454545453,5,0.09803921568627451,37828.3125,6.3125,32,2,0.4,0.0,0.0,buff_focused
105,6,guardian,depth2,Gladius,False,base,final_day,4,True,12,69,duo,12,623514,15,,2,2,0,16,15,0.3076923076923077,5,0.17142857142857143,38969.625,4.3125,32,2,0.3333333333333333,2.0,0.0,loot_focused
106,7,wylder,depth2,Heolstor,False,base,second_day,5,True,12,75,duo,5,811558,15,,1,2,0,17,15,0.38461538461538464,6,0.15789473684210525,50722.375,4.6875,32,2,0.2857142857142857,2.0,0.0,buff_focused
107,1,wylder,depth2,Gladius,False,mountaintop,victory,2,True,12,78,duo,9,810000,15,,3,2,1,14,15,0.15384615384615385,3,0.1518987341772152,50625.0,4.875,33,1,1.0,,0.0,loot_focused
108,1,revenant,depth2,Gladius,False,noklateo,victory,4,True,14,80,duo,9,700361,15,,3,2,1,18,17,0.26666666666666666,5,0.1728395061728395,43772.5625,5.0,34,1,1.0,,0.0,loot_focused
109,2,recluse,depth2,Gladius,True,base,final_day,4,True,10,67,duo,7,453990,13,enhanced,2,2,0,14,13,0.36363636363636365,5,0.14705882352941177,32427.85714285714,4.785714285714286,34,1,0.5,3.0,1.0,high_risk_castle
110,3,recluse,depth2,Maris,False,base,victory,5,True,15,118,duo,7,742846,15,,3,2,1,20,18,0.3125,6,0.12605042016806722,46427.875,7.375,34,2,0.6666666666666666,2.0,0.0,buff_focused
111,4,guardian,depth3,Adel,False,base,first_day,2,False,3,32,duo,13,115648,5,,0,3,0,5,3,0.5,2,0.09090909090909091,19274.666666666668,5.333333333333333,34,2,0.5,3.0,1.0,speedrun
112,5,wylder,depth2,Caligo,True,base,final_day,6,False,13,85,duo,3,609671,15,enhanced,2,2,0,19,13,0.42857142857142855,6,0.1511627906976744,38104.4375,5.3125,34,2,0.4,0.0,0.0,buff_focused
113,6,wylder,depth2,Gnoster,False,base,final_day,4,True,10,77,duo,11,672488,15,,2,2,0,14,13,0.36363636363636365,5,0.1282051282051282,42030.5,4.8125,34,2,0.3333333333333333,2.0,0.0,high_risk_castle
114,1,wylder,depth2,Gladius,True,base,first_day,4,False,4,30,duo,4,207141,9,,0,2,0,8,4,0.8,4,0.12903225806451613,20714.1,3.0,35,0,0.0,,0.0,speedrun
115,2,guardian,depth2,Fulghor,False,base,victory,6,True,14,58,duo,9,719810,15,,3,2,1,20,17,0.4,7,0.23728813559322035,44988.125,3.625,35,1,0.5,0.0,0.0,buff_focused
116,1,recluse,depth2,Adel,True,base,final_day,6,False,15,57,duo,18,582322,15,,2,2,0,21,15,0.375,6,0.25862068965517243,36395.125,3.5625,36,0,0.0,,0.0,buff_focused
117,1,revenant,depth2,Fulghor,False,base,victory,4,True,14,84,duo,6,1030905,15,,3,2,1,18,17,0.26666666666666666,5,0.16470588235294117,64431.5625,5.25,37,1,1.0,,0.0,loot_focused
118,2,recluse,depth3,Gnoster,False,base,victory,4,True,13,46,duo,17,525799,14,,3,3,1,17,16,0.2857142857142857,5,0.2765957446808511,35053.26666666667,3.066666666666667,37,2,1.0,3.0,1.0,loot_focused
119,1,recluse,depth3,Gladius,False,base,victory,6,True,15,73,duo,10,804565,15,,3,3,1,21,18,0.375,7,0.20270270270270271,50285.3125,4.5625,38,1,1.0,,0.0,buff_focused
